File heuristica_inicial vecindad break_point valor tiempo
P-n19-k2 sweep interchange 6 10000 299.487 275.385 44.6621316667
P-n19-k2 sweep interchange 7 1000 311.538 311.538 0.719235666667
P-n19-k2 sweep interchange 7 5000 311.066 310.122 11.912363
P-n19-k2 sweep interchange 7 10000 302.776333333 285.253 44.850483
P-n19-k2 sweep interchange 8 1000 311.538 311.538 0.754955666667
P-n19-k2 sweep interchange 8 5000 302.966333333 285.823 12.2235093333
P-n19-k2 sweep interchange 8 10000 304.481333333 290.368 46.7005563333
P-n19-k2 sweep interchange 9 1000 311.538 311.538 0.739201666667
P-n19-k2 sweep interchange 9 5000 311.538 311.538 11.9939926667
P-n19-k2 sweep interchange 9 10000 276.871666667 260.004 45.431229
P-n19-k2 sweep 2-opt 0 1000 306.439333333 296.68 4.26589566667
P-n19-k2 sweep 2-opt 0 5000 255.026 248.073 82.4022823333
P-n19-k2 sweep 2-opt 0 10000 251.179333333 248.073 424.270114667
P-n19-k2 sweep 2-opt 1 1000 311.538 311.538 1.36105966667
P-n19-k2 sweep 2-opt 1 5000 249.215 248.073 99.5084326667
P-n19-k2 sweep 2-opt 1 10000 250.401 248.073 417.566537333
P-n19-k2 sweep 2-opt 2 1000 272.866666667 248.073 2.13037866667
P-n19-k2 sweep 2-opt 2 5000 255.193333333 248.073 38.0362866667
P-n19-k2 sweep 2-opt 2 10000 248.073 248.073 209.903725333
P-n19-k2 sweep 2-opt 3 1000 294.265 269.797 2.83427133333
P-n19-k2 sweep 2-opt 3 5000 256.122666667 248.073 44.462358
P-n19-k2 sweep 2-opt 3 10000 248.073 248.073 137.492807333
P-n19-k2 sweep 2-opt 4 1000 306.045333333 302.45 1.83536066667
P-n19-k2 sweep 2-opt 4 5000 264.328 248.073 34.23902
P-n19-k2 sweep 2-opt 4 10000 256.883666667 248.073 149.120848667
P-n19-k2 sweep 2-opt 5 1000 311.538 311.538 2.161952
P-n19-k2 sweep 2-opt 5 5000 252.910333333 248.073 23.0506266667
P-n19-k2 sweep 2-opt 5 10000 257.588333333 248.073 97.235429
P-n19-k2 sweep 2-opt 6 1000 310.754 310.362 0.613538
P-n19-k2 sweep 2-opt 6 5000 276.946 258.989 12.358681
P-n19-k2 sweep 2-opt 6 10000 272.16 268.674 48.1209473333
P-n19-k2 sweep 2-opt 7 1000 293.063333333 283.826 0.643531
P-n19-k2 sweep 2-opt 7 5000 282.817333333 248.073 13.27354
P-n19-k2 sweep 2-opt 7 10000 261.678333333 248.073 43.825777
P-n19-k2 sweep 2-opt 8 1000 307.793666667 300.305 1.007719
P-n19-k2 sweep 2-opt 8 5000 258.523666667 250.993 14.3156593333
P-n19-k2 sweep 2-opt 8 10000 250.34 248.073 51.7915876667
P-n19-k2 sweep 2-opt 9 1000 295.796 272.004 0.626481666667
P-n19-k2 sweep 2-opt 9 5000 275.394333333 273.009 14.252979
P-n19-k2 sweep 2-opt 9 10000 259.894 250.993 48.1245403333
P-n19-k2 radial interchange 0 1000 242.451 242.451 2.401256
P-n19-k2 radial interchange 0 5000 239.686666667 234.158 49.27067
P-n19-k2 radial interchange 0 10000 242.341333333 242.122 274.840092
